Year,Total,Percentage,Fifths
2020,18.77,3,lowest
2019,19.2,3.1,lowest
2018,18.72,3.1,lowest
2017,18.3,3.1,lowest
2016,17.81,3.1,lowest
2015,17.46,3.1,lowest
2014,17.14,3.1,lowest
2013,16.71,3.15,lowest
2012,16.3,3.2,lowest
2011,16.05,3.2,lowest
2010,15.81,3.3,lowest
2009,15.38,3.4,lowest
2008,15.37,3.4,lowest
2007,15.77,3.4,lowest
2006,15.43,3.4,lowest
2005,15.04,3.4,lowest
2004,14.61,3.4,lowest
2003,14.13,3.4,lowest
2002,13.55,3.5,lowest
2001,13.28,3.5,lowest
2000,13.26,3.6,lowest
1999,12.89,3.6,lowest
1998,12.29,3.6,lowest
1997,11.72,3.6,lowest
1996,11.22,3.6,lowest
1995,10.74,3.7,lowest
1994,10.51,3.6,lowest
1993,10.1,3.6,lowest
1992,9.84,3.8,lowest
1991,9.43,3.8,lowest
1990,9.32,3.8,lowest
1989,9.26,3.8,lowest
1988,9.02,3.8,lowest
1987,8.69,3.8,lowest
1986,8.31,3.8,lowest
1985,8.08,3.9,lowest
1984,7.75,4,lowest
1983,7.34,4,lowest
1982,6.81,4,lowest
1981,6.91,4.1,lowest
1980,6.82,4.2,lowest
1979,6.82,4.1,lowest
1978,6.73,4.2,lowest
1977,6.31,4.2,lowest
1976,6.01,4.3,lowest
1975,5.76,4.3,lowest
1974,5.62,4.3,lowest
1973,5.73,4.2,lowest
1972,5.51,4.1,lowest
1971,5.15,4.1,lowest
1970,4.94,4.1,lowest
1969,4.95,4.1,lowest
1968,4.85,4.2,lowest
1967,4.62,4,lowest
,,,
,,,
2020,18.77,8.1,second
2019,19.2,8.2,second
2018,18.72,8.2,second
2017,18.3,8.2,second
2016,17.81,8.3,second
2015,17.46,8.2,second
2014,17.14,8.2,second
2013,16.71,8.3,second
2012,16.3,8.3,second
2011,16.05,8.4,second
2010,15.81,8.5,second
2009,15.38,8.6,second
2008,15.37,8.6,second
2007,15.77,8.7,second
2006,15.43,8.6,second
2005,15.04,8.6,second
2004,14.61,8.6,second
2003,14.13,8.6,second
2002,13.55,8.7,second
2001,13.28,8.7,second
2000,13.26,8.8,second
1999,12.89,8.9,second
1998,12.29,9,second
1997,11.72,8.9,second
1996,11.22,9,second
1995,10.74,9.1,second
1994,10.51,8.9,second
1993,10.1,9,second
1992,9.84,9.4,second
1991,9.43,9.6,second
1990,9.32,9.7,second
1989,9.26,9.5,second
1988,9.02,9.7,second
1987,8.69,9.6,second
1986,8.31,9.7,second
1985,8.08,9.9,second
1984,7.75,9.9,second
1983,7.34,9.9,second
1982,6.81,10,second
1981,6.91,10.1,second
1980,6.82,10.2,second
1979,6.82,10.2,second
1978,6.73,10.2,second
1977,6.31,10.2,second
1976,6.01,10.3,second
1975,5.76,10.4,second
1974,5.62,10.6,second
1973,5.73,10.4,second
1972,5.51,10.4,second
1971,5.15,10.6,second
1970,4.94,10.8,second
1969,4.95,10.9,second
1968,4.85,11.1,second
1967,4.62,10.8,second
,,,
,,,
,,Percentage,Fifths
2020,18.77,14,third
2019,19.2,14.1,third
2018,18.72,14.1,third
2017,18.3,14.1,third
2016,17.81,14.2,third
2015,17.46,14.3,third
2014,17.14,14.3,third
2013,16.71,14.35,third
2012,16.3,14.4,third
2011,16.05,14.3,third
2010,15.81,14.5,third
2009,15.38,14.5,third
2008,15.37,14.7,third
2007,15.77,14.8,third
2006,15.43,14.5,third
2005,15.04,14.6,third
2004,14.61,14.7,third
2003,14.13,14.8,third
2002,13.55,14.8,third
2001,13.28,14.6,third
2000,13.26,14.8,third
1999,12.89,14.9,third
1998,12.29,15,third
1997,11.72,15,third
1996,11.22,15.1,third
1995,10.74,15.2,third
1994,10.51,15,third
1993,10.1,15.1,third
1992,9.84,15.8,third
1991,9.43,15.9,third
1990,9.32,15.9,third
1989,9.26,15.9,third
1988,9.02,16,third
1987,8.69,16.1,third
1986,8.31,16.2,third
1985,8.08,16.2,third
1984,7.75,16.3,third
1983,7.34,16.4,third
1982,6.81,16.5,third
1981,6.91,16.7,third
1980,6.82,16.8,third
1979,6.82,16.8,third
1978,6.73,16.8,third
1977,6.31,16.9,third
1976,6.01,17,third
1975,5.76,17,third
1974,5.62,17,third
1973,5.73,17,third
1972,5.51,17.1,third
1971,5.15,17.3,third
1970,4.94,17.4,third
1969,4.95,17.5,third
1968,4.85,17.6,third
1967,4.62,17.3,third
2020,18.77,22.6,fourth
2019,19.2,22.7,fourth
2018,18.72,22.6,fourth
2017,18.3,22.8,fourth
2016,17.81,22.9,fourth
2015,17.46,23.3,fourth
2014,17.14,23.2,fourth
2013,16.71,23,fourth
2012,16.3,23,fourth
2011,16.05,23,fourth
2010,15.81,23.4,fourth
2009,15.38,23.2,fourth
2008,15.37,23.3,fourth
2007,15.77,23.4,fourth
2006,15.43,22.9,fourth
2005,15.04,23,fourth
2004,14.61,23.2,fourth
2003,14.13,23.4,fourth
2002,13.55,23.3,fourth
2001,13.28,23,fourth
2000,13.26,23,fourth
1999,12.89,23.2,fourth
1998,12.29,23.2,fourth
1997,11.72,23.2,fourth
1996,11.22,23.3,fourth
1995,10.74,23.3,fourth
1994,10.51,23.4,fourth
1993,10.1,23.4,fourth
1992,9.84,24.1,fourth
1991,9.43,24.2,fourth
1990,9.32,24,fourth
1989,9.26,24,fourth
1988,9.02,24.2,fourth
1987,8.69,24.3,fourth
1986,8.31,24.3,fourth
1985,8.08,24.4,fourth
1984,7.75,24.6,fourth
1983,7.34,24.6,fourth
1982,6.81,24.5,fourth
1981,6.91,24.8,fourth
1980,6.82,24.7,fourth
1979,6.82,24.7,fourth
1978,6.73,24.7,fourth
1977,6.31,24.7,fourth
1976,6.01,24.7,fourth
1975,5.76,24.7,fourth
1974,5.62,24.6,fourth
1973,5.73,24.5,fourth
1972,5.51,24.5,fourth
1971,5.15,24.5,fourth
1970,4.94,24.5,fourth
1969,4.95,24.5,fourth
1968,4.85,24.5,fourth
1967,4.62,24.2,fourth
2020,18.77,52.3,highest
2019,19.2,51.9,highest
2018,18.72,52,highest
2017,18.3,51.9,highest
2016,17.81,51.5,highest
2015,17.46,51.1,highest
2014,17.14,51.2,highest
2013,16.71,51.2,highest
2012,16.3,51.1,highest
2011,16.05,51.1,highest
2010,15.81,50.3,highest
2009,15.38,50.3,highest
2008,15.37,50,highest
2007,15.77,49.7,highest
2006,15.43,50.6,highest
2005,15.04,50.4,highest
2004,14.61,50.1,highest
2003,14.13,49.8,highest
2002,13.55,49.7,highest
2001,13.28,50.2,highest
2000,13.26,49.8,highest
1999,12.89,49.4,highest
1998,12.29,49.2,highest
1997,11.72,49.3,highest
1996,11.22,49,highest
1995,10.74,48.7,highest
1994,10.51,49.1,highest
1993,10.1,48.9,highest
1992,9.84,46.9,highest
1991,9.43,46.5,highest
1990,9.32,46.6,highest
1989,9.26,46.8,highest
1988,9.02,46.3,highest
1987,8.69,46.2,highest
1986,8.31,46,highest
1985,8.08,45.6,highest
1984,7.75,45.2,highest
1983,7.34,45.1,highest
1982,6.81,45,highest
1981,6.91,44.3,highest
1980,6.82,44.1,highest
1979,6.82,44.2,highest
1978,6.73,44.1,highest
1977,6.31,44,highest
1976,6.01,43.7,highest
1975,5.76,43.6,highest
1974,5.62,43.5,highest
1973,5.73,43.9,highest
1972,5.51,43.9,highest
1971,5.15,43.5,highest
1970,4.94,43.2,highest
1969,4.95,43,highest
1968,4.85,42.6,highest
1967,4.62,43.7,highest
2020,18.77,23,top5
2019,19.2,23,top5
2018,18.72,23.1,top5
2017,18.3,22.8,top5
2016,17.81,22.6,top5
2015,17.46,22.1,top5
2014,17.14,21.9,top5
2013,16.71,22.2,top5
2012,16.3,22.3,top5
2011,16.05,22.3,top5
2010,15.81,21.3,top5
2009,15.38,21.7,top5
2008,15.37,21.5,top5
2007,15.77,21.2,top5
2006,15.43,22.3,top5
2005,15.04,22.2,top5
2004,14.61,21.8,top5
2003,14.13,21.4,top5
2002,13.55,21.7,top5
2001,13.28,22.4,top5
2000,13.26,22.1,top5
1999,12.89,21.5,top5
1998,12.29,21.4,top5
1997,11.72,21.7,top5
1996,11.22,21.4,top5
1995,10.74,21,top5
1994,10.51,21.2,top5
1993,10.1,21,top5
1992,9.84,18.6,top5
1991,9.43,18.1,top5
1990,9.32,18.5,top5
1989,9.26,18.9,top5
1988,9.02,18.3,top5
1987,8.69,18.2,top5
1986,8.31,18,top5
1985,8.08,17.6,top5
1984,7.75,17.1,top5
1983,7.34,17,top5
1982,6.81,17,top5
1981,6.91,16.5,top5
1980,6.82,16.5,top5
1979,6.82,16.9,top5
1978,6.73,16.8,top5
1977,6.31,16.8,top5
1976,6.01,16.6,top5
1975,5.76,16.5,top5
1974,5.62,16.5,top5
1973,5.73,16.9,top5
1972,5.51,17,top5
1971,5.15,16.7,top5
1970,4.94,16.6,top5
1969,4.95,16.6,top5
1968,4.85,16.3,top5
1967,4.62,17.2,top5